bike1,1398,1659,27,0,2,0,1,4.2632,0.42105,2.6842,0.60526
bird1,130,1248,1,1057,0.40244,0,1,1.5732,0.10976,2.9091,0.12121
car1,2155,261,7,205,1.2899,1,0,1.029,0.18841,1,0.1573
car16,959,984,49,0,0.72727,0,1,29.8636,0.90909,25.75,0.9375
car3,1681,5,30,0,2.5625,1,0,2.25,0.875,1.3902,0.58537
car6,970,3875,15,0,0.72593,0,1,2.9481,0.33333,4.7143,0.42857
car8,1932,639,3,0,1.0777,1,0,2.3689,0.63107,2.4324,0.54955
car9,1746,132,0,0,1.7071,1,0,1,0.26263,0.98817,0.017751
group1,618,4248,6,0,2.6098,0,1,1.122,0.26829,1.0841,0.2243
group2,2448,25,1,208,2.8636,1,0,2,0.40909,1.3016,0.30159
group3,756,4542,23,205,3.5556,0,1,2.3333,0.22222,1.75,0.32812
person14,2391,493,0,38,2.9545,1,0,1.5909,0.54545,1.1077,0.23077
person17,854,1423,11,58,3.08,0,1,3.04,0.76,1.5325,0.42857
person19,1035,2970,0,351,2.1692,0,1,1.1692,0.14615,1.1312,0.053191
person2,123,2492,7,0,2.22,0,1,1.2,0.52,1.1171,0.79279
person20,573,1209,0,0,2.3043,0,1,2.8406,0.97101,3.5283,0.91824
person4,414,2308,20,0,2.2963,0,1,3.963,0.77778,4.5323,0.82258
person5,100,1997,3,0,2.25,0,1,1.0294,0.47059,1.0523,0.5817
person7,1991,0,3,70,3.4839,1,0,4,0.70968,1.5463,0.14815
uav1,1757,1491,3,217,0.43333,1,0,9.8333,0.23333,20.1538,0.46154
