bike1,1398,1659,27,0,2,0,1,4.2632,0.42105,2.6842,0.60526
bike2,143,263,111,35,1.1818,0,1,1.8182,0.36364,1.4615,1
bike3,46,334,52,0,1.7,0,1,3,0.5,3.9412,0.35294
bird1_1,14,179,0,59,0.40244,0,1,1.1707,0.2439,1.7879,0.12121
bird1_2,34,550,0,118,0.37143,0,1,1.3571,0.18571,3.6923,0.69231
bird1_3,5,467,0,392,0.3012,0,1,1,0.10843,3.36,0.56
boat1,772,125,3,0,2.0581,1,0,1,0.46452,1,0.40752
boat2,753,0,45,0,1.2,1,0,1.8455,1,1.2273,0.94697
boat3,891,0,9,0,1.0312,1,0,2.4453,0.74219,1.1742,0.62121
boat4,509,37,6,0,0.86316,1,0,2.5789,1,1.2683,0.97561
boat5,88,416,0,0,0.69149,0,1,0.97872,0.30851,0.97692,0.68462
boat6,261,523,20,0,0.59259,0,1,16.0741,1,16.6875,0.9375
boat7,196,329,9,0,0.44848,0,1,1.5091,0.38788,1.2568,0.83784
boat8,0,675,9,0,0.47059,0,1,18.4118,0.82353,19.625,1
boat9,771,624,3,0,1.0111,1,0,1.5111,0.15556,2,0.14286
building1,18,439,11,0,2.125,0,1,1.0625,0.8125,1.1029,0.98529
building2,158,367,51,0,1.6207,0,1,2.1379,1,2.3404,1
building3,56,754,18,0,1.2414,0,1,1,0.55172,1,0.72222
building4,753,17,16,0,0.57333,1,0,1.32,1,1.1395,1
building5,8,1,471,0,2.8182,1,0,1.0909,1,1.0645,1
car10,210,1089,105,0,0.82609,0,1,1,0.73913,1.1316,0.47368
car11,239,59,3,35,0.64706,1,0,2,0.76471,1.4545,0.90909
car12,258,132,3,105,0.77273,1,0,5.8182,0.45455,3.2353,0.58824
car13,156,210,48,0,0.6,0,1,1.1333,0.53333,1.3333,0.66667
car14,953,284,12,77,1.5814,1,0,1.2093,0.30233,1.1176,0.13235
car15,462,5,1,0,0.63636,1,0,2,1,1.7143,0.57143
car16_1,244,131,39,0,0.72727,1,0,29.8636,1,25.75,0.9375
car16_2,758,813,7,0,0.75,0,1,3.25,0.35714,2.8333,0.45238
car17,734,299,23,0,0.61111,1,0,12.4444,0.94444,15.6364,0.90909
car18,383,808,15,0,0.45038,0,1,3.2214,0.46565,3.6271,0.67797
car1_1,743,0,7,0,1.2899,1,0,1.029,0.37681,1,0.34831
car1_2,710,127,16,23,1.1071,1,0,1.7857,0.71429,1.0645,0.58065
car1_3,27,789,4,182,0.48837,0,1,1.6512,0.30233,2.8095,0.66667
car1_s,1428,45,1,0,1.2651,1,0,1.0419,0.13488,1.0368,0.084559
car2,0,1297,12,11,0.58333,0,1,1.1389,0.38889,2.1429,0.61905
car2_s,79,240,0,0,0.87611,0,1,0.99115,0.39823,1.0202,0.51515
car3,1681,5,30,0,2.5625,1,0,2.25,0.875,1.3902,0.58537
car3_s,1196,103,0,0,0.93191,1,0,1.0277,0.053191,1.016,0.045662
car4,304,1018,22,0,1.8,0,1,1.52,0.96,1.6444,0.26667
car4_s,730,99,0,0,1.202,1,0,1.4187,0.19704,1.123,0.15164
