S0101,408,1375,0,0,1.0053,0,1,0.94211,0.036842,1.0262,0.052356
S0102,335,10,4,0,1.6522,1,0,2.8696,0.82609,1.0789,0.68421
S0103,289,845,0,0,0.69048,0,1,2.0476,0.59524,2.7931,0.82759
S0201,91,825,31,0,0.43333,0,1,2.7667,0.26667,3.9615,0.53846
S0301,15,678,1,0,0.48092,0,1,1,0.091603,1.0159,0.11111
S0302,26,403,10,0,0.39286,0,1,1.4286,0.64286,1.8182,1
S0303,152,45,2,0,2.7273,1,0,2.1818,0.86364,1.0667,0.65
S0304,358,0,0,0,1.9231,1,0,3.8462,1.0385,1.27,0.58
S0305,371,334,0,0,0.74286,1,0,4.4857,0.97143,3.3846,0.84615
S0306,294,0,0,0,1.7714,1,0,1.0286,0.4,0.98387,0.25806
S0307,144,269,0,0,1.1538,0,1,3.4615,0.92308,2.1333,1.0667
S0308,10,307,1,0,0.4375,0,1,1.25,0.5,2.1429,1
S0309,183,30,0,0,0.94444,1,0,1.037,0.41667,1.0098,0.5
S0310,37,80,0,0,1.0769,0,1,1.5577,0.67308,1.5,0.78571
S0401,291,209,0,0,1.35,1,0,1.15,0.35,1.037,0.37037
S0402,3,554,3,0,0.84615,0,1,7.3077,1,7.5455,1
S0501,231,0,0,0,2.6,1,0,1.3,0.6,1.0385,0.38462
S0601,14,67,0,0,1.15,0,1,1.15,1,1.2174,0.86957
S0602,214,77,0,0,1.129,1,0,5.2473,0.75269,2.9238,0.80952
S0701,595,0,0,0,1.4211,1,0,1.3158,0.94737,1.037,0.25926
S0801,141,384,0,0,0.45192,0,1,1.5577,0.21154,1.766,0.38298
S0901,347,0,2,0,1,1,0,4.5,1.1,2.4,0.7
S1001,322,21,9,0,0.8,1,0,3.3333,1.1333,1.9167,1
S1101,89,208,0,0,0.58462,0,1,1.3077,0.21538,1.3421,0.26316
S1201,342,2191,0,0,0.97872,0,1,3.1277,0.7234,3.2391,0.56522
S1202,179,149,0,0,0.40741,1,0,4.4444,1.1481,10.4545,0.81818
S1301,392,143,1,0,1.2,1,0,1.6857,0.6,1.2857,0.40476
S1302,32,311,59,0,1,0,1,4,0.88889,5.6667,0.88889
S1303,542,561,8,0,1.2308,0,1,4.0769,0.76923,4.4375,1
S1304,413,85,20,0,1.75,1,0,2,1,2.0952,0.95238
S1305,33,1344,0,0,1.1579,0,1,1.4211,0.68421,1.7273,0.77273
S1306,2421,13,0,0,1.6538,1,0,2.0385,0.61538,1.093,0.51163
S1307,622,118,1,0,1.1053,1,0,3.7895,0.78947,3.0952,0.71429
S1308,359,616,7,0,1.0667,0,1,5.3333,0.73333,4.9375,0.9375
S1309,1301,0,0,0,2.2121,1,0,1.8182,0.24242,1,0.10959
S1310,629,174,1,0,1.0625,1,0,2.625,0.875,1.7647,0.76471
S1311,374,74,7,0,0.47222,1,0,1.1389,0.19444,1.1765,0.88235
S1312,1918,0,0,0,2.75,1,0,3.5833,0.91667,2.0606,0.48485
S1313,2003,17,24,0,2.3158,1,0,2.3158,0.52632,1.2955,0.45455
S1401,31,156,0,0,0.47917,0,1,1.1458,0.52083,3.5217,1
S1501,29,224,0,0,0.3122,0,1,0.98537,0.43415,4.0469,0.78125
S1601,449,18,0,0,1.4103,1,0,1.8205,1.0769,2.0909,0.78182
S1602,467,368,2,0,0.82143,1,0,1.1786,0.17857,1.1304,0.21739
S1603,2713,255,0,0,1.4483,1,0,1.5862,0.41379,1.6905,0.2619
S1604,211,411,1,0,0.78261,0,1,3.1739,0.82609,3.8333,0.83333
S1605,252,351,1,0,0.70588,0,1,2.5294,0.52941,2.5833,0.75
S1606,136,518,0,0,0.50943,0,1,1.0377,0.11321,1,0.25926
S1607,31,531,0,0,0.44211,0,1,2.2947,0.35789,4.4048,0.97619
S1701,190,133,0,0,1.1719,1,0,0.9819,0.30769,1.027,0.2471
S1702,126,202,0,0,0.54348,0,1,1.087,0.43478,1.92,0.72
